oc_id,oc_name
33632,Billing.CBS.ActivateSubscriber
98800,
645444,
357998,Billing.CBS.ActivateSubscriber
433477,Communications.SMTP.SendEmail
333444,Communications.SMTP.SendEmail
56745,Communications.SMTP.SendEmail
336887,Billing.CBS.ActivateSubscriber
4345865,Billing.CBS.ActivateSubscriber
3347777,Billing.CBS.ActivateSubscriber
4445666,Billing.CBS.ActivateSubscriber
893300,Billing.CBS.ActivateSubscriber
5666000,Communications.SMTP.SendEmail
3545799,Communications.SMTP.SendEmail
346,Communications.SMTP.SendEmail
345,Communications.SMTP.SendEmail
3589,Billing.CBS.ActivateSubscriber
3333,Billing.CBS.ActivateSubscriber
990000,Billing.CBS.ActivateSubscriber
